municipio;Total;Branca;Preta;Amarela;Parda;Indígena;n_declarado
Anapu (PA);9551;2186;787;209;6151;218;-
Augusto Corrêa (PA);19508;2445;1076;48;15938;1;-
Aurora do Pará (PA);12926;2365;1022;198;9323;18;-
Aveiro (PA);7482;951;388;53;5204;886;-
Bagre (PA);11729;2318;1046;86;8278;1;-
Baião (PA);17436;2940;3087;57;11330;22;-
Bannach (PA);1584;458;120;22;933;51;-
Barcarena (PA);49513;9813;2461;398;36766;75;-
Belém (PA);734391;207481;50011;6536;469046;1261;56
Belterra (PA);7837;1029;221;86;6348;153;-
Benevides (PA);25836;5489;1842;270;18168;67;-
Bom Jesus do Tocantins (PA);7247;1506;515;57;4803;366;-
Bonito (PA);6516;1235;302;75;4904;-;-
Bragança (PA);55936;8088;2408;349;45066;25;-
Brasil Novo (PA);7376;2093;726;147;4273;137;-
Brejo Grande do Araguaia (PA);3485;687;235;39;2511;13;-
Breu Branco (PA);25408;4880;1511;101;18902;14;-
Breves (PA);45072;10174;2902;316;31641;39;-
Bujaru (PA);12360;1640;1329;46;9345;-;-
Cachoeira do Piriá (PA);12764;1256;581;92;10818;17;-
Cachoeira do Arari (PA);9898;1194;884;162;7657;1;-
Cametá (PA);58880;13583;3469;358;41462;8;-
Canaã dos Carajás (PA);13131;3491;777;278;8553;32;-
Capanema (PA);32145;8631;1123;186;22146;59;-
Capitão Poço (PA);25272;3829;702;141;20579;21;-
Castanhal (PA);88673;22338;4110;1075;61068;82;-
Chaves (PA);9825;1173;607;134;7911;-;-
Colares (PA);5502;1172;119;34;4158;19;-
Conceição do Araguaia (PA);22248;5620;1929;537;14072;90;-
Concórdia do Pará (PA);13626;2139;939;75;10472;1;-
Cumaru do Norte (PA);4385;913;294;40;2539;599;-
Curionópolis (PA);8622;1889;541;131;6057;4;-
Curralinho (PA);13490;1969;498;25;10998;-;-
Curuá (PA);5798;1102;300;40;4356;-;-
Curuçá (PA);16726;3249;514;66;12889;8;-
Dom Eliseu (PA);24695;5459;1681;386;17149;20;-
Eldorado dos Carajás (PA);14972;3341;1186;278;10146;21;-
Faro (PA);3937;736;80;11;3082;28;-
Floresta do Araguaia (PA);8217;2163;595;248;5196;15;-
Garrafão do Norte (PA);11927;1785;419;106;9606;11;-
Goianésia do Pará (PA);14686;3814;1092;137;9612;31;-
Gurupá (PA);13662;2716;593;269;10083;1;-
Igarapé-Açu (PA);17770;3733;633;204;13196;4;-
Igarapé-Miri (PA);28403;6844;1996;153;19408;2;-
Inhangapi (PA);4867;576;620;30;3640;1;-
Ipixuna do Pará (PA);24405;3734;1360;267;18954;90;-
Irituia (PA);15103;2653;765;62;11621;2;-
Itaituba (PA);47812;10936;4562;546;31350;418;-
Itupiranga (PA);24194;5327;1984;357;16353;173;-
Jacareacanga (PA);6066;923;644;46;1624;2829;-
Jacundá (PA);25591;6226;1740;219;17376;30;-
Juruti (PA);22508;3237;633;441;18156;41;-
Limoeiro do Ajuru (PA);11906;2561;394;27;8924;-;-
Mãe do Rio (PA);14164;3103;652;225;10175;9;-
Magalhães Barata (PA);3857;894;49;19;2894;1;-
Marabá (PA);115473;24910;7843;1304;81188;228;-
Maracanã (PA);13677;3111;294;24;10243;5;-
Marapanim (PA);12721;2919;315;17;9466;4;-
Marituba (PA);54362;12295;4111;336;37560;60;-
Medicilândia (PA);12440;3117;1153;311;7823;36;-
Melgaço (PA);11581;1893;596;94;8998;-;-
Mocajuba (PA);12984;3104;738;151;8981;10;-
Moju (PA);33352;5750;2823;380;24272;127;-
Monte Alegre (PA);26954;5572;963;268;20123;28;-
Muaná (PA);16298;3599;912;115;11671;1;-
Nova Esperança do Piriá (PA);9515;1472;430;72;7536;5;-
Nova Ipixuna (PA);6914;1338;536;60;4963;17;-
Nova Timboteua (PA);6588;1288;253;21;5026;-;-
Novo Progresso (PA);11689;4937;780;82;5841;49;-
Novo Repartimento (PA);29302;6357;2148;380;20091;326;-
Óbidos (PA);23770;4838;1600;204;16829;299;-
Oeiras do Pará (PA);13578;1970;481;102;11023;2;-
Oriximiná (PA);31038;5000;3034;220;21265;1519;-
Ourém (PA);7868;1186;464;49;6159;10;-
