municipio;Total;Branca;Preta;Amarela;Parda;Indígena;n_declarado
Santa Maria do Salto (MG);2565;752;79;4;1725;5;-
Santa Maria do Suaçuí (MG);7241;1676;468;57;5035;5;-
Santana da Vargem (MG);3606;1845;298;15;1448;-;-
Santana de Cataguases (MG);1804;1103;187;13;501;-;-
Santana de Pirapama (MG);3880;1061;255;11;2553;-;-
Santana do Deserto (MG);1913;868;407;25;612;1;-
Santana do Garambéu (MG);1063;487;68;-;508;-;-
Santana do Jacaré (MG);2288;1293;196;26;772;1;-
Santana do Manhuaçu (MG);4189;1485;281;39;2384;-;-
Santana do Paraíso (MG);13602;4510;1520;374;7135;63;-
Santana do Riacho (MG);2005;617;122;72;1192;2;-
Santana dos Montes (MG);1861;864;214;36;746;1;-
Santa Rita de Caldas (MG);4424;3760;191;10;463;-;-
Santa Rita de Jacutinga (MG);2457;1727;179;13;536;2;-
Santa Rita de Minas (MG);3250;1254;267;46;1681;2;-
Santa Rita de Ibitipoca (MG);1737;924;140;1;672;-;-
Santa Rita do Itueto (MG);2768;1209;142;16;1401;-;-
Santa Rita do Sapucaí (MG);18891;13766;1149;62;3901;13;-
Santa Rosa da Serra (MG);1533;749;57;39;683;5;-
Santa Vitória (MG);8730;4121;454;189;3957;9;-
Santo Antônio do Amparo (MG);8758;3458;960;101;4231;8;-
Santo Antônio do Aventureiro (MG);1730;1064;241;12;413;-;-
Santo Antônio do Grama (MG);2052;662;197;14;1178;1;-
Santo Antônio do Itambé (MG);2067;174;404;45;1443;1;-
Santo Antônio do Jacinto (MG);5748;1444;253;19;4024;8;-
Santo Antônio do Monte (MG);12778;8874;656;76;3165;7;-
Santo Antônio do Retiro (MG);3429;1178;188;9;2054;-;-
Santo Antônio do Rio Abaixo (MG);888;261;83;25;519;-;-
Santo Hipólito (MG);1617;246;205;8;1158;-;-
Santos Dumont (MG);23788;12946;3197;221;7408;16;-
São Bento Abade (MG);2192;762;252;15;1163;-;-
São Brás do Suaçuí (MG);1783;702;147;23;911;-;-
São Domingos das Dores (MG);2660;1030;106;4;1520;-;-
São Domingos do Prata (MG);8917;3007;1248;102;4549;11;-
São Félix de Minas (MG);1648;488;109;22;1029;-;-
São Francisco (MG);26550;5040;2666;136;18699;9;-
São Francisco de Paula (MG);3203;1789;244;4;1166;-;-
São Francisco de Sales (MG);2804;1708;357;40;699;-;-
São Francisco do Glória (MG);2523;1263;256;44;958;2;-
São Geraldo (MG);5045;2821;437;10;1776;1;-
São Geraldo da Piedade (MG);2253;394;287;60;1508;4;-
São Geraldo do Baixio (MG);1726;636;134;20;936;-;-
São Gonçalo do Abaeté (MG);3023;1302;210;38;1472;1;-
São Gonçalo do Pará (MG);5171;2946;297;48;1876;4;-
São Gonçalo do Rio Abaixo (MG);4905;1116;691;52;3046;-;-
São Gonçalo do Sapucaí (MG);11982;7482;521;73;3904;2;-
São Gotardo (MG);15723;8643;1091;212;5760;17;-
São João Batista do Glória (MG);3329;2552;131;-;640;6;-
São João da Lagoa (MG);2218;470;143;34;1570;1;-
São João da Mata (MG);1331;1196;34;-;101;-;-
São João da Ponte (MG);12235;3138;671;149;8275;2;-
São João das Missões (MG);5667;399;190;9;1240;3829;-
São João del Rei (MG);43920;25478;3603;397;14398;44;-
São João do Manhuaçu (MG);5031;1944;255;56;2776;-;-
São João do Manteninha (MG);2633;867;213;70;1481;2;-
São João do Oriente (MG);3967;1570;132;4;2258;3;-
São João do Pacuí (MG);1968;385;170;11;1402;-;-
São João do Paraíso (MG);11156;3899;195;69;6992;1;-
São João Evangelista (MG);7939;1907;592;59;5377;4;-
São João Nepomuceno (MG);12876;7306;1814;154;3575;27;-
São Joaquim de Bicas (MG);11796;3805;1137;182;6661;11;-
São José da Barra (MG);3269;2356;177;25;707;4;-
São José da Lapa (MG);9973;3127;1069;104;5672;1;-
São José da Safira (MG);2048;446;223;2;1374;3;-
São José da Varginha (MG);2065;1003;129;3;930;-;-
São José do Alegre (MG);2020;1448;59;9;503;1;-
São José do Divino (MG);1944;542;126;26;1249;1;-
São José do Goiabal (MG);2904;767;460;60;1617;-;-
São José do Jacuri (MG);3222;794;180;41;2207;-;-
São José do Mantimento (MG);1301;754;99;7;441;-;-
São Lourenço (MG);21899;15707;1236;65;4871;20;-
São Miguel do Anta (MG);3324;1353;266;2;1699;4;-
São Pedro da União (MG);2393;2137;42;9;205;-;-
São Pedro dos Ferros (MG);4229;1270;575;56;2328;-;-
São Pedro do Suaçuí (MG);2824;656;230;10;1928;-;-
São Romão (MG);5037;840;822;54;3320;1;-
São Roque de Minas (MG);3203;2465;213;36;487;2;-
São Sebastião da Bela Vista (MG);2369;1489;85;8;787;-;-
São Sebastião da Vargem Alegre (MG);1339;954;53;2;329;1;-
São Sebastião do Anta (MG);2816;1000;52;88;1676;-;-
São Sebastião do Maranhão (MG);5276;1052;100;2;4121;1;-
São Sebastião do Oeste (MG);2775;1823;92;10;849;1;-
São Sebastião do Paraíso (MG);32798;22113;1500;206;8950;29;-
São Sebastião do Rio Preto (MG);841;329;45;31;434;2;-
São Sebastião do Rio Verde (MG);1062;793;17;1;251;-;-
São Tiago (MG);5261;3298;487;12;1458;6;-
São Tomás de Aquino (MG);3535;2000;208;21;1298;8;-
São Thomé das Letras (MG);3116;1845;281;20;969;1;-
São Vicente de Minas (MG);3614;1641;595;54;1319;5;-
Sapucaí-Mirim (MG);3037;2432;64;17;522;2;-
Sardoá (MG);2780;846;151;53;1725;5;-
Sarzedo (MG);12943;4315;1371;259;6971;27;-
Setubinha (MG);5535;695;732;73;4035;-;-
Sem-Peixe (MG);1443;398;128;9;908;-;-
Senador Amaral (MG);2443;2101;51;27;264;-;-
Senador Cortes (MG);1003;437;294;9;263;-;-
Senador Firmino (MG);3577;2188;231;20;1137;1;-
Senador José Bento (MG);864;712;35;5;112;-;-
Senador Modestino Gonçalves (MG);2257;571;262;11;1410;-;3
Senhora de Oliveira (MG);2835;1458;202;2;1173;-;-
Senhora do Porto (MG);1732;411;200;5;1116;-;-
Senhora dos Remédios (MG);5044;3166;212;60;1605;1;-
Sericita (MG);3481;1451;203;6;1819;2;-
Seritinga (MG);871;612;44;-;215;-;-
Serra Azul de Minas (MG);2099;260;190;13;1636;-;-
Serra da Saudade (MG);385;170;14;-;201;-;-
Serra dos Aimorés (MG);4240;1150;361;53;2666;10;-
Serra do Salitre (MG);5127;2643;499;69;1909;7;-
Serrania (MG);3739;2273;393;20;1048;5;-
Serranópolis de Minas (MG);2194;651;250;30;1262;1;-
Serranos (MG);996;611;45;9;331;-;-
Serro (MG);10461;1501;902;138;7914;6;-
Sete Lagoas (MG);110161;37200;9257;1529;62019;156;-
Silveirânia (MG);1044;682;92;8;262;-;-
Silvianópolis (MG);2899;2328;113;16;442;-;-
Simão Pereira (MG);1289;463;351;-;475;-;-
Simonésia (MG);8832;3732;444;208;4437;11;-
Sobrália (MG);2973;1155;198;94;1523;3;-
Soledade de Minas (MG);2837;2120;144;1;571;1;-
Tabuleiro (MG);2032;1293;197;11;531;-;-
Taiobeiras (MG);15800;5615;606;100;9479;-;-
Taparuba (MG);1521;648;82;1;790;-;-
Tapira (MG);1898;1160;48;23;663;4;-
Tapiraí (MG);871;524;18;4;325;-;-
Taquaraçu de Minas (MG);1767;481;189;30;1061;6;-
Tarumirim (MG);7191;2698;331;19;4143;-;-
Teixeiras (MG);5812;2963;763;62;2017;7;-
Teófilo Otoni (MG);70279;19294;7366;660;42850;109;-
Timóteo (MG);42050;16996;5133;772;19081;68;-
Tiradentes (MG);3521;2134;211;40;1134;2;-
Tiros (MG);3369;2407;120;33;809;-;-
Tocantins (MG);7929;3805;850;59;3199;16;-
Tocos do Moji (MG);1806;1626;19;6;155;-;-
Toledo (MG);2721;2387;29;5;298;2;-
Tombos (MG);4754;2440;736;40;1532;6;-
Três Corações (MG);36662;18004;4547;251;13812;48;-
Três Marias (MG);14244;4104;718;59;9356;7;-
Três Pontas (MG);27155;13689;2740;175;10541;10;-
Tumiritinga (MG);3095;766;358;65;1904;2;-
Tupaciguara (MG);12104;6462;722;112;4804;4;-
Turmalina (MG);8887;3235;194;108;5347;3;-
Turvolândia (MG);2249;1561;44;32;612;-;-
Ubá (MG);51261;27697;5032;605;17855;72;-
Ubaí (MG);5702;1183;868;71;3580;-;-
Ubaporanga (MG);5955;2207;360;22;3364;2;-
Uberaba (MG);151527;95899;13352;1467;40580;229;-
Uberlândia (MG);309099;176019;24627;3732;104217;486;18
Umburatiba (MG);1306;366;119;20;788;13;-
Unaí (MG);38260;15243;2314;623;20042;38;-
União de Minas (MG);2006;954;120;36;896;-;-
Uruana de Minas (MG);1608;432;59;20;1097;-;-
Urucânia (MG);5206;1179;885;133;3008;1;-
Urucuia (MG);6574;1027;458;34;5055;-;-
Vargem Alegre (MG);3166;1144;237;53;1732;-;-
Vargem Bonita (MG);1018;634;10;3;371;-;-
Vargem Grande do Rio Pardo (MG);2305;897;65;7;1336;-;-
Varginha (MG);63124;37585;5514;341;19651;33;-
Varjão de Minas (MG);2884;1302;131;40;1405;6;-
Várzea da Palma (MG);17659;4209;1803;269;11374;4;-
Varzelândia (MG);9351;2498;798;48;6003;4;-
Vazante (MG);9794;3990;703;98;5000;3;-
Verdelândia (MG);4072;695;1040;105;2231;1;-
Veredinha (MG);2658;736;76;62;1783;1;-
Veríssimo (MG);1705;1115;171;8;411;-;-
Vermelho Novo (MG);2262;808;82;7;1365;-;-
Vespasiano (MG);53521;15535;6963;1195;29768;60;-
Viçosa (MG);37219;17724;5337;331;13767;60;-
Vieiras (MG);1831;1071;94;10;656;-;-
Mathias Lobato (MG);1695;249;226;31;1189;-;-
Virgem da Lapa (MG);6856;1164;821;63;4807;1;-
Virgínia (MG);4315;3645;108;8;554;-;-
Virginópolis (MG);5357;1786;359;38;3172;2;-
Virgolândia (MG);2870;814;146;12;1898;-;-
Visconde do Rio Branco (MG);19241;9165;2139;218;7705;14;-
Volta Grande (MG);2593;955;781;17;839;1;-
Wenceslau Braz (MG);1265;987;24;-;254;-;-
Afonso Cláudio (ES);15404;8522;754;90;6015;23;-
Águia Branca (ES);4618;1747;182;11;2678;-;-
Água Doce do Norte (ES);5811;1796;266;51;3696;2;-
Alegre (ES);15481;8035;1554;102;5761;29;-
Alfredo Chaves (ES);6852;4683;186;21;1952;10;-
Alto Rio Novo (ES);3643;1295;184;20;2144;-;-
Anchieta (ES);11840;5131;726;102;5821;60;-
Apiacá (ES);3734;1856;570;32;1274;2;-
Aracruz (ES);41037;14809;2193;240;22328;1467;-
Atilio Vivacqua (ES);4851;2232;461;54;2102;2;-
Baixo Guandu (ES);14861;6182;902;64;7699;13;1
Barra de São Francisco (ES);20241;6538;915;78;12701;9;-
Boa Esperança (ES);7020;2307;380;40;4285;8;-
Bom Jesus do Norte (ES);4892;2501;700;41;1645;5;-
Brejetuba (ES);5704;2582;211;79;2816;16;-
Cachoeiro de Itapemirim (ES);97044;47355;9471;575;39551;89;3
Cariacica (ES);178780;59827;15628;1286;101753;286;-
Castelo (ES);17346;11031;1108;53;5136;18;-
Colatina (ES);57497;27094;2784;197;27380;42;-
Conceição da Barra (ES);14288;3421;2153;154;8529;31;-
Conceição do Castelo (ES);5743;3046;467;45;2183;2;-
Divino de São Lourenço (ES);2166;1414;172;9;567;4;-
Domingos Martins (ES);15753;11442;388;70;3843;10;-
Dores do Rio Preto (ES);3171;2137;290;8;735;1;-
Ecoporanga (ES);11646;2724;769;91;8058;4;-
Fundão (ES);8536;3242;637;41;4607;9;-
Governador Lindenberg (ES);5195;2632;194;21;2344;4;-
Guaçuí (ES);14165;7935;1409;59;4758;4;-
Guarapari (ES);53792;22786;3985;355;26534;132;-
Ibatiba (ES);11078;6269;346;35;4418;10;-
Ibiraçu (ES);5644;2407;335;20;2879;3;-
Ibitirama (ES);4308;2631;288;16;1373;-;-
Iconha (ES);6114;4260;118;10;1723;3;-
Irupi (ES);5693;3403;249;35;2002;4;-
Itaguaçu (ES);6937;3749;359;32;2782;15;-
Itapemirim (ES);15453;7780;836;86;6741;10;-
Itarana (ES);5425;3523;195;5;1697;5;-
Iúna (ES);13688;7406;936;107;5225;14;-
Jaguaré (ES);12210;4160;1450;130;6439;31;-
Jerônimo Monteiro (ES);5587;2938;570;27;2051;1;-
João Neiva (ES);7998;3859;423;39;3667;10;-
Laranja da Terra (ES);5302;3894;193;20;1194;1;-
Linhares (ES);70891;25849;5346;597;38952;147;-
Mantenópolis (ES);6807;2063;327;47;4365;5;-
Marataízes (ES);17264;10515;652;94;5988;15;-
Marechal Floriano (ES);7002;4263;459;45;2223;12;-
Marilândia (ES);5535;3388;184;10;1944;9;-
Mimoso do Sul (ES);12861;5982;1317;146;5392;24;-
Montanha (ES);8875;2642;499;51;5669;14;-
Mucurici (ES);2784;669;154;31;1930;-;-
Muniz Freire (ES);9094;4940;472;39;3642;1;-
Muqui (ES);7140;3361;713;50;3012;4;-
Nova Venécia (ES);22920;9968;1089;86;11761;16;-
Pancas (ES);10547;4436;587;40;5479;5;-
Pedro Canário (ES);11893;2880;1254;175;7550;32;2
Pinheiros (ES);11890;3110;903;110;7749;18;-
Piúma (ES);9167;4905;432;49;3763;18;-
Ponto Belo (ES);3486;815;141;31;2488;11;-
Presidente Kennedy (ES);5056;1885;516;35;2617;3;-
Rio Bananal (ES);8451;4561;346;13;3515;16;-
Rio Novo do Sul (ES);5588;3180;120;1;2287;-;-
Santa Leopoldina (ES);5815;3592;185;17;2020;1;-
Santa Maria de Jetibá (ES);16644;13831;280;96;2431;6;-
Santa Teresa (ES);10908;7180;390;37;3289;12;-
São Domingos do Norte (ES);3837;1868;207;11;1742;9;-
São Gabriel da Palha (ES);15954;8006;452;42;7445;9;-
São José do Calçado (ES);5213;2645;768;11;1786;3;-
São Mateus (ES);55098;15805;7085;446;31693;69;-
São Roque do Canaã (ES);5585;3662;231;10;1682;-;-
Serra (ES);207852;66440;19694;2093;119017;603;5
Sooretama (ES);11710;3354;1025;124;7194;13;-
Vargem Alta (ES);9303;5079;702;78;3436;8;-
Venda Nova do Imigrante (ES);10112;6335;440;74;3247;16;-
Viana (ES);31810;10199;2319;182;19068;42;-
Vila Pavão (ES);4179;2329;96;11;1736;7;-
Vila Valério (ES);6622;3369;211;37;3001;4;-
Vila Velha (ES);215440;96245;15393;1526;101736;539;1
Vitória (ES);173853;84142;15119;1277;72770;543;2
Angra dos Reis (RJ);84845;44608;6010;1320;32654;237;16
Aperibé (RJ);5190;3699;288;18;1183;2;-
Araruama (RJ);57725;25884;7547;409;23802;82;1
Areal (RJ);5762;3004;750;37;1971;-;-
Armação dos Búzios (RJ);13818;7176;1367;117;5148;10;-
Arraial do Cabo (RJ);14088;7998;1099;41;4917;33;-
Barra do Piraí (RJ);49624;21616;8861;441;18640;66;-
Barra Mansa (RJ);92021;47908;11184;484;32403;42;-
Belford Roxo (RJ);242575;79877;36662;2592;123260;163;21
Bom Jardim (RJ);12613;8751;1216;351;2289;6;-
Bom Jesus do Itabapoana (RJ);18215;9909;2113;120;6061;12;-
Cabo Frio (RJ);95396;46891;11121;718;36523;141;2
Cachoeiras de Macacu (RJ);27211;11824;2610;295;12462;20;-
Cambuci (RJ);7420;4344;840;15;2217;4;-
Carapebus (RJ);6571;2498;628;66;3373;6;-
Comendador Levy Gasparian (RJ);4104;1533;810;58;1699;4;-
Campos dos Goytacazes (RJ);240472;119500;32850;1611;86319;160;32
Cantagalo (RJ);9999;4878;1931;83;3102;5;-
Cardoso Moreira (RJ);6330;3641;700;115;1871;3;-
Carmo (RJ);8834;4498;1612;56;2660;8;-
Casimiro de Abreu (RJ);17924;8665;2008;86;7137;28;-
Conceição de Macabu (RJ);10662;4293;1632;138;4588;11;-
Cordeiro (RJ);10649;6149;2049;39;2411;1;-
Duas Barras (RJ);5419;3038;858;50;1468;5;-
Duque de Caxias (RJ);443974;159501;62666;5482;215874;451;-
Engenheiro Paulo de Frontin (RJ);6788;3458;631;69;2620;10;-
Guapimirim (RJ);26203;10268;3779;214;11927;15;-
Iguaba Grande (RJ);11805;6127;1226;67;4371;7;7
Itaboraí (RJ);111818;41216;13100;666;56732;104;-
Itaguaí (RJ);54682;22154;5155;600;26694;78;1
Italva (RJ);7210;4170;509;111;2416;4;-
Itaocara (RJ);11707;8031;1163;27;2482;4;-
Itaperuna (RJ);49288;24310;6618;566;17753;38;3
Itatiaia (RJ);14570;7276;1446;126;5708;14;-
Japeri (RJ);47412;14101;7746;924;24619;22;-
Laje do Muriaé (RJ);3736;1391;714;29;1601;1;-
Macaé (RJ);104296;44727;13357;1024;45082;103;3
Macuco (RJ);2741;1293;748;10;690;-;-
Magé (RJ);116746;42094;17396;1649;55481;120;6
Mangaratiba (RJ);18494;8420;1501;81;8474;18;-
Maricá (RJ);64812;35962;4532;289;23953;76;-
Mendes (RJ);9284;4516;1332;53;3379;4;-
Mesquita (RJ);88586;33427;12460;836;41778;82;3
Miguel Pereira (RJ);12923;6456;1392;35;5029;11;-
Miracema (RJ);13817;5662;2759;170;5204;22;-
Natividade (RJ);7637;3522;871;70;3168;6;-
Nilópolis (RJ);83751;35484;11507;460;36256;44;-
Niterói (RJ);261724;169134;23988;1550;66673;369;10
Nova Friburgo (RJ);94828;69080;7853;472;17332;90;1
Nova Iguaçu (RJ);414507;153477;57183;4080;199377;390;-
Paracambi (RJ);23331;10566;2888;276;9586;15;-
Paraíba do Sul (RJ);21333;10241;3150;82;7856;4;-
Paraty (RJ);18569;9608;1274;124;7441;122;-
Paty do Alferes (RJ);13542;6134;1613;103;5684;8;-
Petrópolis (RJ);154921;99463;16560;614;38169;115;-
Pinheiral (RJ);11685;5656;1678;101;4230;20;-
Piraí (RJ);13397;6339;1924;96;5033;5;-
Porciúncula (RJ);8886;3893;1265;46;3672;10;-
Porto Real (RJ);8350;3529;1281;79;3446;15;-
Quatis (RJ);6555;3149;897;55;2450;4;-
Queimados (RJ);71377;24220;11600;1195;34306;56;-
Quissamã (RJ);10199;3515;971;161;5546;6;-
Resende (RJ);61501;32417;7027;416;21580;58;3
Rio Bonito (RJ);28233;12211;3409;233;12358;22;-
Rio Claro (RJ);8656;5159;834;78;2584;1;-
Rio das Flores (RJ);4350;1749;989;41;1570;1;-
Rio das Ostras (RJ);53469;27966;4845;313;20279;66;-
Rio de Janeiro (RJ);3360629;1754299;376838;26135;1199569;3745;43
Santa Maria Madalena (RJ);5046;2435;833;20;1752;6;-
Santo Antônio de Pádua (RJ);20628;11377;2996;158;6081;16;-
São Francisco de Itabapoana (RJ);20546;10182;1609;118;8633;4;-
São Fidélis (RJ);19149;11930;1891;101;5224;3;-
São Gonçalo (RJ);524464;232036;63340;2922;225633;513;20
São João da Barra (RJ);16518;11113;784;75;4537;9;-
São João de Meriti (RJ);240569;86730;37511;2573;113531;216;8
São José de Ubá (RJ);3505;1595;284;16;1609;1;-
São José do Vale do Rio Preto (RJ);10106;7168;819;21;2083;15;-
São Pedro da Aldeia (RJ);44444;21896;4817;329;17335;67;-
São Sebastião do Alto (RJ);4428;2223;835;6;1360;2;2
Sapucaia (RJ);8759;4774;1364;52;2569;-;-
Saquarema (RJ);37379;19312;4202;194;13633;37;1
Seropédica (RJ);39753;16012;4685;431;18575;49;1
Silva Jardim (RJ);10541;3878;1377;141;5134;11;-
Sumidouro (RJ);7248;5023;750;33;1440;2;-
Tanguá (RJ);15443;4950;1892;161;8436;4;-
Teresópolis (RJ);85471;55698;7012;401;22304;56;-
Trajano de Moraes (RJ);5031;2662;693;68;1607;1;-
Três Rios (RJ);40418;17819;7409;486;14690;11;3
Valença (RJ);37393;18893;5772;199;12499;30;-
Varre-Sai (RJ);4719;2991;504;31;1193;-;-
Vassouras (RJ);18019;8141;3010;188;6655;25;-
Volta Redonda (RJ);134884;72188;17234;970;44400;92;-
Adamantina (SP);17423;12842;410;451;3703;17;-
Adolfo (SP);1770;1447;33;4;286;-;-
Aguaí (SP);15931;11098;809;90;3914;20;-
Águas da Prata (SP);3837;2934;140;13;746;4;-
Águas de Lindóia (SP);8809;7473;200;49;1080;7;-
Águas de Santa Bárbara (SP);2822;2140;67;38;577;-;-
Águas de São Pedro (SP);1445;1268;13;13;151;-;-
Agudos (SP);17448;11475;732;87;5147;7;-
Alambari (SP);2428;1781;46;6;595;-;-
Alfredo Marcondes (SP);1910;1240;49;188;430;3;-
Altair (SP);1764;978;97;15;674;-;-
Altinópolis (SP);7799;5482;330;26;1956;5;-
Alto Alegre (SP);1993;1465;38;12;476;2;-
Alumínio (SP);8339;4974;423;37;2902;3;-
Álvares Florence (SP);1898;1506;26;10;356;-;-
Álvares Machado (SP);11873;6875;599;367;4012;20;-
Álvaro de Carvalho (SP);1691;791;163;10;727;-;-
Alvinlândia (SP);1518;920;151;12;435;-;-
Americana (SP);107464;85802;2956;782;17811;88;25
Américo Brasiliense (SP);17145;9806;781;90;6462;6;-
Américo de Campos (SP);2844;2267;51;11;515;-;-
Amparo (SP);33387;26815;1158;114;5274;26;-
Analândia (SP);2090;1507;81;11;485;6;-
Andradina (SP);28144;17001;1061;577;9496;9;-
Angatuba (SP);10965;8910;199;35;1785;36;-
Anhembi (SP);2744;1995;100;11;634;4;-
Anhumas (SP);1875;1116;49;23;686;1;-
Aparecida (SP);18109;12765;820;65;4449;10;-
Aparecida d'Oeste (SP);2273;1672;38;17;545;1;-
Apiaí (SP);12614;6203;316;83;6002;10;-
Araçariguama (SP);8383;4827;450;67;3024;15;-
Araçatuba (SP);94250;62250;4257;2238;25456;46;3
Araçoiaba da Serra (SP);13692;10669;317;144;2556;6;-
Aramina (SP);2563;1439;201;18;904;1;-
Arandu (SP);3035;1895;137;11;992;-;-
Arapeí (SP);1238;726;111;-;401;-;-
Araraquara (SP);108007;77886;6355;996;22663;106;1
Araras (SP);60155;44591;2799;208;12526;23;8
Arco-Íris (SP);954;539;20;8;310;77;-
Arealva (SP);3844;2953;134;33;717;3;4
Areias (SP);1865;1014;113;6;732;-;-
Areiópolis (SP);5126;3120;166;26;1808;6;-
Ariranha (SP);4181;3160;148;13;850;10;-
Artur Nogueira (SP);22102;14953;663;132;6343;11;-
Arujá (SP);37966;22107;1814;745;13263;37;-
Aspásia (SP);902;618;23;4;257;-;-
Assis (SP);48827;37619;1527;411;9197;73;-
Atibaia (SP);64392;46648;1953;1741;13997;53;-
Auriflama (SP);7100;5285;149;41;1622;3;-
Avaí (SP);2453;1509;55;10;596;283;-
Avanhandava (SP);5061;2788;210;21;2042;-;-
Avaré (SP);41798;31928;1538;445;7851;36;-
Bady Bassitt (SP);7354;5681;166;55;1440;12;-
Balbinos (SP);700;495;44;8;152;1;-
Bálsamo (SP);4162;3304;130;3;719;6;-
Bananal (SP);5172;2785;514;27;1842;4;-
Barão de Antonina (SP);1525;1130;23;13;306;53;-
Barbosa (SP);3270;1808;196;12;1250;4;-
Bariri (SP);15777;12825;496;41;2403;12;-
Barra Bonita (SP);17994;13813;575;27;3568;11;-
Barra do Chapéu (SP);2474;1053;48;20;1353;-;-
Barra do Turvo (SP);3679;1488;137;29;2020;5;-
Barretos (SP);57932;38271;4243;575;14804;39;-
Barrinha (SP);14175;6065;1031;126;6930;23;-
Barueri (SP);123698;66871;7116;1271;48300;136;4
Bastos (SP);10413;5021;256;1199;3916;21;-
Batatais (SP);28732;21452;1357;89;5815;19;-
Bauru (SP);177288;127441;8273;2779;38578;217;-
Bebedouro (SP);38506;27568;1856;168;8905;9;-
Bento de Abreu (SP);1310;646;103;9;552;-;-
Bernardino de Campos (SP);5525;4524;156;7;836;2;-
Bertioga (SP);23816;11436;1624;273;10354;123;6
Bilac (SP);3557;2550;106;73;825;3;-
Birigui (SP);55653;39909;1412;623;13676;33;-
Biritiba-Mirim (SP);14162;8982;571;708;3887;14;-
Boa Esperança do Sul (SP);6770;4201;229;18;2322;-;-
Bocaina (SP);5450;4055;222;14;1156;3;-
Bofete (SP);4712;3458;112;13;1124;5;-
Boituva (SP);24001;17021;899;144;5905;32;-
Bom Jesus dos Perdões (SP);9786;7427;195;137;2025;2;-
Bom Sucesso de Itararé (SP);1755;1156;46;4;548;1;-
Borá (SP);383;232;14;-;137;-;-
Boracéia (SP);2090;1589;100;4;397;-;-
Borborema (SP);7179;5669;161;39;1304;6;-
Borebi (SP);1150;736;40;11;360;3;-
Botucatu (SP);65567;51094;2403;451;11569;50;-
Bragança Paulista (SP);74663;59286;2250;867;12205;55;-
Braúna (SP);2469;1546;76;7;778;62;-
Brejo Alegre (SP);1243;612;36;31;563;1;-
Brodowski (SP);10642;8107;414;29;2090;2;-
Brotas (SP);10869;7894;386;37;2548;4;-
Buri (SP);9062;6902;212;38;1909;1;-
Buritama (SP);7686;5357;224;47;2051;7;-
Buritizal (SP);1980;1429;56;9;485;1;-
Cabrália Paulista (SP);2145;1467;50;13;612;1;2
Cabreúva (SP);20524;12779;873;214;6624;25;9
Caçapava (SP);42756;31025;1602;269;9845;15;-
Cachoeira Paulista (SP);15342;10731;837;22;3743;9;-
Caconde (SP);9253;6689;453;20;2089;2;-
Cafelândia (SP);8433;5567;273;156;2434;3;-
Caiabu (SP);1981;1095;82;30;774;-;-
Caieiras (SP);44231;27441;2556;179;13994;61;-
Caiuá (SP);2387;1181;152;9;1042;3;-
Cajamar (SP);32117;17747;1775;206;12373;16;-
Cajati (SP);14044;7561;312;127;6040;4;-
Cajobi (SP);4743;3376;138;7;1220;2;-
Cajuru (SP);11672;8569;435;35;2629;4;-
Campina do Monte Alegre (SP);2714;1939;26;14;728;7;-
Campinas (SP);559248;377348;37152;6883;137258;521;86
Campo Limpo Paulista (SP);37682;24966;1825;206;10642;43;-
Campos do Jordão (SP);24396;20074;546;172;3595;9;-
Campos Novos Paulista (SP);2200;1598;63;3;536;-;-
Cananéia (SP);6092;3705;236;60;2037;54;-
Canas (SP);2162;1242;133;2;783;2;-
Cândido Mota (SP);15226;11766;389;66;2993;12;-
Cândido Rodrigues (SP);1353;1142;28;8;172;3;-
Canitar (SP);2153;1217;105;5;826;-;-
Capão Bonito (SP);23157;16900;346;358;5530;23;-
Capela do Alto (SP);8494;6440;163;41;1840;10;-
Capivari (SP);24223;16709;2037;57;5410;10;-
Caraguatatuba (SP);50881;34546;1975;491;13820;49;-
Carapicuíba (SP);190300;100371;14652;1191;73876;192;18
Cardoso (SP);5975;3569;229;60;2116;1;-
Casa Branca (SP);13310;9678;706;34;2882;10;-
Cássia dos Coqueiros (SP);1287;977;48;7;255;-;-
Castilho (SP);9028;4874;387;69;3693;5;-
Catanduva (SP);58044;44896;2109;294;10688;57;-
Catiguá (SP);3495;2365;72;8;1050;-;-
Cedral (SP);3995;3406;111;11;465;2;-
Cerqueira César (SP);8859;6976;269;41;1571;2;-
Cerquilho (SP);19982;16056;396;77;3439;14;-
Cesário Lange (SP);7477;5870;137;35;1433;2;-
Charqueada (SP);7399;5462;262;24;1644;7;-
Clementina (SP);3404;2067;102;31;1202;2;-
Colina (SP);8745;5396;413;55;2861;20;-
Colômbia (SP);2928;1437;273;101;1117;-;-
Conchal (SP);12472;8268;793;94;3314;3;-
Conchas (SP);8097;6819;155;9;1103;11;-
Cordeirópolis (SP);10480;7748;503;34;2186;9;-
Coroados (SP);2628;1874;52;5;694;3;-
Coronel Macedo (SP);2436;1728;50;44;609;5;-
Corumbataí (SP);1900;1425;79;10;386;-;-
Cosmópolis (SP);29417;17430;1691;173;10096;27;-
Cosmorama (SP);3562;2845;67;3;641;6;-
Cotia (SP);102695;60282;5341;1426;35529;114;3
Cravinhos (SP);15802;11066;741;89;3895;11;-
Cristais Paulista (SP);3714;2386;197;16;1107;8;-
Cruzália (SP);1164;859;18;13;273;1;-
Cruzeiro (SP);39534;29381;2162;83;7898;10;-
Cubatão (SP);59491;26258;4120;397;28589;124;3
